Class;Day;Slot;Subject;Teacher;Room
6А;Пн;2;Русский язык;Петрова;ИТ
6А;Пн;3;История;Кузнецова;Каб 8А
6А;Пн;4;Литература;Петрова;Каб 6Б
6А;Пн;5;Математика;Иванова;ИТ
6А;Пн;6;Русский язык;Петрова;ИТ
6А;Вт;1;История;Кузнецова;Каб 7Б
6А;Вт;2;Математика;Иванова;Каб 6Б
6А;Ср;2;Математика;Иванова;Каб 7Б
6А;Ср;3;Литература;Петрова;ИТ
6А;Ср;4;Английский язык;Орлова;Каб 6А
6А;Ср;5;Физическая культура и здоровье;Смирнов;Каб 6А
6А;Ср;6;Информатика;Сидоров;Каб 8А
6А;Чт;1;Русский язык;Петрова;Каб 7Б
6А;Чт;2;Математика;Иванова;Каб 6Б
6А;Чт;3;Английский язык;Орлова;Каб 8А
6А;Чт;4;Биология;Козлов;Каб 8Б
6А;Пт;2;Физическая культура и здоровье;Смирнов;ИТ
6А;Пт;3;Русский язык;Петрова;Каб 8А
6А;Пт;4;Английский язык;Орлова;ИТ
6А;Пт;5;География;Козлов;Каб 7Б
6Б;Пн;1;Физическая культура и здоровье;Смирнов;Каб 7Б
6Б;Пн;2;Английский язык;Орлова;Каб 8А
6Б;Пн;3;Русский язык;Петрова;ИТ
6Б;Вт;2;Русский язык;Петрова;Каб 7Б
6Б;Вт;3;Русский язык;Петрова;Каб 6Б
6Б;Вт;4;История;Кузнецова;Каб 6Б
6Б;Вт;5;Английский язык;Орлова;ИТ
6Б;Вт;6;История;Кузнецова;ИТ
6Б;Вт;7;Биология;Козлов;ИТ
6Б;Ср;1;Физическая культура и здоровье;Смирнов;Каб 8А
6Б;Ср;2;Литература;Орлова;ИТ
6Б;Ср;3;Математика;Иванова;Каб 7А
6Б;Ср;4;География;Козлов;Каб 8А
6Б;Чт;1;Математика;Иванова;Каб 6А
6Б;Чт;2;Русский язык;Петрова;Каб 8А
6Б;Чт;3;Информатика;Сидоров;Каб 6А
6Б;Чт;4;Математика;Иванова;Каб 8А
6Б;Пт;2;Литература;Орлова;Каб 7Б
6Б;Пт;3;Английский язык;Орлова;Каб 7Б
6Б;Пт;4;Математика;Иванова;Каб 7Б
7А;Пн;1;Английский язык;Михайлова;Каб 7А
7А;Пн;2;История;Кузнецова;Каб 7А
7А;Пн;3;Математика;Соколова;Каб 6Б
7А;Пн;4;Физика;Сидоров;Каб 7Б
7А;Пн;5;География;Козлов;Каб 6Б
7А;Пн;6;Русский язык;Фёдорова;Каб 7А
7А;Вт;2;Математика;Соколова;Каб 8А
7А;Вт;3;Физическая культура и здоровье;Смирнов;Каб 8А
7А;Вт;4;Литература;Михайлова;Каб 7Б
7А;Вт;5;История;Кузнецова;Каб 6А
7А;Ср;2;Математика;Соколова;Каб 7А
7А;Ср;3;Русский язык;Фёдорова;Каб 8А
7А;Ср;4;Физическая культура и здоровье;Смирнов;ИТ
7А;Ср;5;Литература;Михайлова;Каб 7А
7А;Чт;1;Физика;Сидоров;Каб 6Б
7А;Чт;2;Русский язык;Фёдорова;Каб 7Б
7А;Чт;3;Английский язык;Михайлова;Каб 7Б
7А;Чт;4;Математика;Соколова;Каб 6Б
7А;Пт;1;Английский язык;Михайлова;Каб 6Б
7А;Пт;2;Русский язык;Фёдорова;Каб 6Б
7А;Пт;3;Биология;Козлов;Каб 6Б
7Б;Пн;2;Английский язык;Михайлова;Каб 6Б
7Б;Пн;3;Литература;Михайлова;Каб 7Б
7Б;Пн;4;Математика;Соколова;Каб 7А
7Б;Пн;5;Математика;Соколова;Каб 7А
7Б;Пн;6;Биология;Козлов;Каб 6Б
7Б;Пн;7;Русский язык;Фёдорова;ИТ
7Б;Вт;1;Русский язык;Фёдорова;Каб 6Б
7Б;Вт;2;Литература;Михайлова;Каб 7А
7Б;Вт;3;Русский язык;Фёдорова;Каб 7А
7Б;Вт;4;География;Козлов;Каб 7А
7Б;Вт;5;Английский язык;Михайлова;Каб 8А
7Б;Ср;2;Физическая культура и здоровье;Смирнов;Каб 8А
7Б;Ср;3;Математика;Соколова;Каб 7Б
7Б;Ср;4;Английский язык;Михайлова;Каб 7А
7Б;Ср;5;Физика;Сидоров;Каб 6Б
7Б;Чт;2;История;Кузнецова;ИТ
7Б;Чт;3;Математика;Соколова;ИТ
7Б;Пт;1;Физическая культура и здоровье;Смирнов;Каб 6А
7Б;Пт;2;История;Кузнецова;Каб 8А
7Б;Пт;3;Русский язык;Фёдорова;Каб 7А
7Б;Пт;4;Физика;Сидоров;Каб 6Б
8А;Пн;1;История;Кузнецова;Каб 6А
8А;Пн;2;Физическая культура и здоровье;Смирнов;Каб 7Б
8А;Пн;3;Математика;Иванова;Каб 6А
8А;Пн;4;История;Кузнецова;Каб 6А
8А;Пн;5;Физика;Сидоров;Каб 6А
8А;Вт;1;Английский язык;Михайлова;ИТ
8А;Вт;2;Русский язык;Фёдорова;Каб 6А
8А;Вт;3;Английский язык;Михайлова;ИТ
8А;Вт;4;Литература;Орлова;Каб 8А
8А;Вт;5;Химия;Козлов;Каб 6Б
8А;Вт;6;Химия;Козлов;Каб 7Б
8А;Ср;2;Обществоведение;Кузнецова;Каб 6Б
8А;Ср;3;Физическая культура и здоровье;Смирнов;Каб 6Б
8А;Ср;4;Математика;Иванова;Каб 7Б
8А;Ср;5;Литература;Орлова;ИТ
8А;Чт;1;Русский язык;Фёдорова;Каб 7А
8А;Чт;2;Информатика;Сидоров;Каб 7А
8А;Чт;3;Математика;Иванова;Каб 7А
8А;Чт;4;Английский язык;Михайлова;Каб 6А
8А;Пт;1;Русский язык;Фёдорова;Каб 7А
8А;Пт;2;Математика;Иванова;Каб 7А
8А;Пт;3;Физика;Сидоров;ИТ
8А;Пт;4;Русский язык;Фёдорова;Каб 6А
8Б;Пн;1;Литература;Орлова;ИТ
8Б;Пн;2;Математика;Иванова;Каб 6А
8Б;Пн;3;Информатика;Сидоров;Каб 7А
8Б;Пн;4;Математика;Иванова;ИТ
8Б;Пн;5;Русский язык;Петрова;Каб 7Б
8Б;Вт;1;Физика;Сидоров;Каб 6А
8Б;Вт;2;История;Кузнецова;ИТ
8Б;Вт;3;Обществоведение;Кузнецова;Каб 6А
8Б;Вт;4;Физическая культура и здоровье;Смирнов;ИТ
8Б;Ср;1;Английский язык;Орлова;ИТ
8Б;Ср;1;Английский язык;Петрова;Каб 6А
8Б;Ср;2;Русский язык;Петрова;Каб 6А
8Б;Ср;3;Литература;Орлова;Каб 6А
8Б;Ср;4;Физика;Сидоров;Каб 6Б
8Б;Чт;1;История;Кузнецова;ИТ
8Б;Чт;2;Физическая культура и здоровье;Смирнов;Каб 6А
8Б;Чт;3;Русский язык;Петрова;Каб 6Б
8Б;Чт;4;Английский язык;Орлова;Каб 7А
8Б;Чт;4;Английский язык;Петрова;Каб 7Б
8Б;Пт;1;Математика;Иванова;ИТ
8Б;Пт;2;Русский язык;Петрова;Каб 6А
8Б;Пт;3;Математика;Иванова;Каб 6А
8Б;Пт;4;Химия;Козлов;Каб 7А
8Б;Пт;5;Английский язык;Орлова;Каб 6А
8Б;Пт;5;Английский язык;Петрова;Каб 6Б
8Б;Пт;6;Химия;Козлов;Каб 6А
